SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp003755,skp003623,Apollonio Bassetti^1631^1699^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp006710,skp003623,Carlo Roberto Dati^1619^1676^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp008118,skp003623,Christophorus Arnoldus van Neurenberg^0^0^1666,Antonio Marco Magliabechi^1633^1714^0,-1
skp011835,skp003623,Enrico Noris^1631^1704^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp031942,skp003623,Lorenzo Panciatichi^1635^1676^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp035864,skp003623,Nicolaas Heinsius^1620^1681^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp036430,skp003623,Ottavio Ferrari^1607^1682^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp035864,skp024024,Nicolaas Heinsius^1620^1681^0,Jacobus Gronovius^1645^1716^0,-1
skp024024,skp042335,Jacobus Gronovius^1645^1716^0,Theodorus Rijckius^1640^1690^0,-1
gap0053,skp003623,Angeli Stefano^0^0^1670,Antonio Marco Magliabechi^1633^1714^0,1
gap0060,skp003623,Anisson Jean^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
skp001591,skp035864,Abraham van Berkel^1639^1686^0,Nicolaas Heinsius^1620^1681^0,1
skp001862,skp035864,Adriaan Beverland^1650^1716^0,Nicolaas Heinsius^1620^1681^0,1
skp002048,skp020583,Adrianus Blyenburch^1616^1684^0,Isaac Vossius^1618^1689^0,1
skp028586,skp002048,Johannes Georgius Graevius^1632^1703^0,Adrianus Blyenburch^1616^1684^0,1
skp002048,skp035864,Adrianus Blyenburch^1616^1684^0,Nicolaas Heinsius^1620^1681^0,1
skp002974,skp003623,Angelico Aprosius^1607^1681^0,Antonio Marco Magliabechi^1633^1714^0,1
skp003592,skp008594,Antonie van Leeuwenhoek^1632^1723^0,Constantijn Huygens^1596^1687^0,1
gap0074,skp003623,Antonio da Terrinca^0^0^1681,Antonio Marco Magliabechi^1633^1714^0,1
gap0078,skp003623,Antonio Nicolas^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0135,skp003623,Badii Raffaello^0^0^1685,Antonio Marco Magliabechi^1633^1714^0,1
gap0138,skp003623,Baffico Giovanni Francesco^0^0^1683,Antonio Marco Magliabechi^1633^1714^0,1
gap0142,skp003623,Baglioni Tommaso^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap0152,skp003623,Baldigiani Antonio^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0156,skp003623,Baldinucci Filippo^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0171,skp003623,Bambacari Cesare Niccolò^0^0^1688,Antonio Marco Magliabechi^1633^1714^0,1
gap0189,skp003623,Barbigioni Diamante^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0202,skp003623,Barone Bonaventura^0^0^1681,Antonio Marco Magliabechi^1633^1714^0,1
gap0217,skp003623,Bartolommei Mattia Maria^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0232,skp003623,Becci Giovanni Battista^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
gap0239,skp003623,Bellini Francesco Maria^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
gap0241,skp003623,Bellini Lorenzo^1643^1704^0,Antonio Marco Magliabechi^1633^1714^0,1
gap0261,skp003623,Benvenuti Bernardo^0^0^1667,Antonio Marco Magliabechi^1633^1714^0,1
gap0284,skp003623,Beverini Bartolomeo^0^0^1681,Antonio Marco Magliabechi^1633^1714^0,1
gap0288,skp003623,Biffi Niccol•^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0289,skp003623,Bigazzi Angelico^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0307,skp003623,Blaeu Pietro^0^0^1672,Antonio Marco Magliabechi^1633^1714^0,1
gap0328,skp003623,Bondicchi Francesco^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
gap0334,skp003623,Bonini Filippo Maria^0^0^1674,Antonio Marco Magliabechi^1633^1714^0,1
gap0344,skp003623,Borgherini Giovanni Battista^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0355,skp003623,Bosca Pietro Paolo^0^0^1680,Antonio Marco Magliabechi^1633^1714^0,1
gap0358,skp003623,Bosdari Pietro^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0359,skp003623,Boselli Cipriano^0^0^1672,Antonio Marco Magliabechi^1633^1714^0,1
gap0386,skp003623,Brondi Giuseppe^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0427,skp003623,Cacherani Giuseppe^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0428,skp003623,Cadorino Giacomo^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0439,skp003623,Calvi Donato^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0448,skp003623,Canale Giovanni^0^0^1683,Antonio Marco Magliabechi^1633^1714^0,1
gap0461,skp003623,Capisucchi Raimondo^0^0^1674,Antonio Marco Magliabechi^1633^1714^0,1
gap0464,skp003623,Capponi Francesco^0^0^1694,Antonio Marco Magliabechi^1633^1714^0,1
gap0475,skp003623,Caravaggi Pietro Paolo^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0485,skp003623,Carli Paolo Francesco^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0487,skp003623,Carlo di S. Antonio da Padova^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0490,skp003623,Caro Francesco^0^0^1686,Antonio Marco Magliabechi^1633^1714^0,1
gap0499,skp003623,Casati Paolo^0^0^1680,Antonio Marco Magliabechi^1633^1714^0,1
gap0509,skp003623,Castri Ottavio^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
gap0516,skp003623,Cava Alberto^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap0520,skp003623,Cavalcanti Lorenzo Maria^0^0^1681,Antonio Marco Magliabechi^1633^1714^0,1
gap0524,skp003623,Cavana Giovanni Niccol•^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap0527,skp003623,Cavina Pietro Maria^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
gap0531,skp003623,Cecchi Giovanni Filippo^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
gap0533,skp003623,Cecini Fabrizio^0^0^1669,Antonio Marco Magliabechi^1633^1714^0,1
gap0568,skp003623,Chiari Gaetano^0^0^1677,Antonio Marco Magliabechi^1633^1714^0,1
gap0582,skp003623,Cilli Ladislao^0^0^1671,Antonio Marco Magliabechi^1633^1714^0,1
gap0615,skp003623,Combi Sebastiano^0^0^1659,Antonio Marco Magliabechi^1633^1714^0,1
gap0620,skp003623,Comparini Maddalena Angelica^0^0^1685,Antonio Marco Magliabechi^1633^1714^0,1
gap0622,skp003623,Comparini Maria Francesca^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap0646,skp003623,Corniani Rocco^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0652,skp003623,Corsi Domenico Maria^0^0^1674,Antonio Marco Magliabechi^1633^1714^0,1
gap0662,skp003623,Cosmi Stefano^0^0^1683,Antonio Marco Magliabechi^1633^1714^0,1
gap0670,skp003623,Costalta Giuseppe^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap0677,skp003623,Crasso Lorenzo^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
gap0702,skp003623,Dalla Casa Lodovico^0^0^1679,Antonio Marco Magliabechi^1633^1714^0,1
gap0705,skp003623,Damaideno Teodoro^0^0^1682,Antonio Marco Magliabechi^1633^1714^0,1
gap0714,skp003623,Dati Francesco^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0795,skp003623,Doni Francesco^0^0^1683,Antonio Marco Magliabechi^1633^1714^0,1
gap0797,skp003623,Donnoli Francesco Alfonso^0^0^1682,Antonio Marco Magliabechi^1633^1714^0,1
gap0813,skp003623,Du Ponceau Elia^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0826,skp003623,Endter Wolfgang Moritz^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0858,skp003623,Faure Ferries [Jacques de]^0^0^1675,Antonio Marco Magliabechi^1633^1714^0,1
gap0863,skp003623,Federici Domenico^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0896,skp003623,Finardi Angelo^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0901,skp003623,Fiorati Angelo^0^0^1676,Antonio Marco Magliabechi^1633^1714^0,1
gap0905,skp003623,Fiorelli Giacomo^0^0^1678,Antonio Marco Magliabechi^1633^1714^0,1
gap0921,skp003623,Forzoni Accolti Pier Andrea^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap0926,skp003623,Frambotti Giuseppe^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
gap0927,skp003623,Frambotti Pietro Maria^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
