SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp008118,skp003623,Christophorus Arnoldus van Neurenberg^0^0^1666,Antonio Marco Magliabechi^1633^1714^0,-1
skp008617,skp003623,Domenico Passionei^1682^1761^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp003539,skp003623,Anton Maria Salvini^1653^1729^0,Antonio Marco Magliabechi^1633^1714^0,-1
gap0020,skp003623,Albizzi Luca degli^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
skp001354,skp016830,Abel Tassin D'Allonne^1642^1723^0,Gijsbert Cuper^1644^1716^0,1
skp024024,skp001546,Jacobus Gronovius^1645^1716^0,Abraham Torrenius^1683^1739^0,1
skp024112,skp001546,Jacobus Perizonius^1651^1715^0,Abraham Torrenius^1683^1739^0,1
skp016830,skp001885,Gijsbert Cuper^1644^1716^0,Adriaan Heins^0^0^1712,1
skp001918,skp003623,Adriaan Reland^1676^1718^0,Antonio Marco Magliabechi^1633^1714^0,1
skp001918,skp016830,Adriaan Reland^1676^1718^0,Gijsbert Cuper^1644^1716^0,1
skp002413,skp037757,Alexander Cunningham of Block^1654^1737^0,Petrus Burman^1668^1741^0,1
skp003592,skp003283,Antonie van Leeuwenhoek^1632^1723^0,Anthonie Heinsius^1641^1720^0,1
skp016830,skp003393,Gijsbert Cuper^1644^1716^0,Antoine Galland^1646^1715^0,1
gap0166,skp003623,Balestri Ridolfo^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap0322,skp003623,Bonanni Filippo^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap0422,skp003623,Buti Niccol•^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0591,skp003623,Ciriaci Domenico^0^0^1708,Antonio Marco Magliabechi^1633^1714^0,1
gap0727,skp003623,De Cristofaro Giacinto^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0756,skp003623,Del Torre Filippo^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap0992,skp003623,Gavardi Ferdinando^0^0^1712,Antonio Marco Magliabechi^1633^1714^0,1
gap1094,skp003623,Grandi Guido^0^0^1707,Antonio Marco Magliabechi^1633^1714^0,1
