SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp008118,skp003623,Christophorus Arnoldus van Neurenberg^0^0^1666,Antonio Marco Magliabechi^1633^1714^0,-1
skp008617,skp003623,Domenico Passionei^1682^1761^0,Antonio Marco Magliabechi^1633^1714^0,-1
skp003539,skp003623,Anton Maria Salvini^1653^1729^0,Antonio Marco Magliabechi^1633^1714^0,-1
gap0020,skp003623,Albizzi Luca degli^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
skp001354,skp016830,Abel Tassin D'Allonne^1642^1723^0,Gijsbert Cuper^1644^1716^0,1
skp024024,skp001546,Jacobus Gronovius^1645^1716^0,Abraham Torrenius^1683^1739^0,1
skp024112,skp001546,Jacobus Perizonius^1651^1715^0,Abraham Torrenius^1683^1739^0,1
skp001918,skp003623,Adriaan Reland^1676^1718^0,Antonio Marco Magliabechi^1633^1714^0,1
skp001918,skp016830,Adriaan Reland^1676^1718^0,Gijsbert Cuper^1644^1716^0,1
skp002413,skp037757,Alexander Cunningham of Block^1654^1737^0,Petrus Burman^1668^1741^0,1
skp016830,skp003393,Gijsbert Cuper^1644^1716^0,Antoine Galland^1646^1715^0,1
gap0166,skp003623,Balestri Ridolfo^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap0322,skp003623,Bonanni Filippo^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap0895,skp003623,Filoni Giovanni Antonio^0^0^1713,Antonio Marco Magliabechi^1633^1714^0,1
gap1646,skp003623,Paioli Anselmo^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
gap1713,skp003623,Pesenti Bartolomeo^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1748,skp003623,Piselli Giuseppe^0^0^1688,Antonio Marco Magliabechi^1633^1714^0,1
gap2107,skp003623,Trevisan Bernardo^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap2120,skp003623,Vaccari Gioia Giuseppe Fiorenzo^0^0^1711,Antonio Marco Magliabechi^1633^1714^0,1
skp016743,skp003623,Giacinto Cestoni^0^0^1716,Antonio Marco Magliabechi^1633^1714^0,1
skp019539,skp003623,Henrik Brenkman^1681^1736^0,Antonio Marco Magliabechi^1633^1714^0,1
