SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
skp001354,skp016830,Abel Tassin D'Allonne^1642^1723^0,Gijsbert Cuper^1644^1716^0,1
skp024024,skp001546,Jacobus Gronovius^1645^1716^0,Abraham Torrenius^1683^1739^0,1
skp024112,skp001546,Jacobus Perizonius^1651^1715^0,Abraham Torrenius^1683^1739^0,1
skp001918,skp016830,Adriaan Reland^1676^1718^0,Gijsbert Cuper^1644^1716^0,1
skp002413,skp037757,Alexander Cunningham of Block^1654^1737^0,Petrus Burman^1668^1741^0,1
skp016830,skp003393,Gijsbert Cuper^1644^1716^0,Antoine Galland^1646^1715^0,1
skp039002,skp003644,Pietro Caterino Zeno^0^0^1714,Antonio Vallisnieri^1661^1730^0,1
skp016830,skp003717,Gijsbert Cuper^1644^1716^0,Antonius Schultingh^1659^1734^0,1
skp037757,skp005091,Petrus Burman^1668^1741^0,Bernard de Montfaucon^1655^1741^0,1
skp005529,skp025079,Bruno van der Dussen^1660^1741^0,Johan van den Bergh^1664^1755^0,1
skp016830,skp006508,Gijsbert Cuper^1644^1716^0,Campegius Vitringa^1693^1723^0,1
skp038661,skp006760,Pieter van der Aa^1659^1733^0,Carolus Andreas Duker^1670^1752^0,1
skp016830,skp006846,Gijsbert Cuper^1644^1716^0,Caspar Abel^1676^1763^0,1
skp008261,skp025637,Claude François Fraguier^0^0^1714,Jean Le Clerc^1657^1736^0,1
skp008645,skp037757,Corn van Schagen^0^0^1706,Petrus Burman^1668^1741^0,1
skp010001,skp016830,David Martin^1639^1721^0,Gijsbert Cuper^1644^1716^0,1
skp010061,skp037757,David van Hoogstraten^1658^1724^0,Petrus Burman^1668^1741^0,1
skp010076,skp016830,De Ballonffeaux^0^0^1714,Gijsbert Cuper^1644^1716^0,1
skp016830,skp011374,Gijsbert Cuper^1644^1716^0,Eduard van Zurck^1660^1726^0,1
skp019539,skp013204,Henrik Brenkman^1681^1736^0,Fr. Hesselius^0^0^1702,1
skp013419,skp016830,Franciscus Blanchinus^0^0^1731,Gijsbert Cuper^1644^1716^0,1
skp025637,skp013653,Jean Le Clerc^1657^1736^0,Frans van Limborch^1679^1765^0,1
skp015883,skp037757,Geo. Waddelus^0^0^1718,Petrus Burman^1668^1741^0,1
skp016830,skp016613,Gijsbert Cuper^1644^1716^0,Gerhardus Jordens^1669^1764^0,1
skp016830,skp019480,Gijsbert Cuper^1644^1716^0,Henricus Velsen^0^0^1715,1
skp016830,skp019539,Gijsbert Cuper^1644^1716^0,Henrik Brenkman^1681^1736^0,1
skp016830,skp019811,Gijsbert Cuper^1644^1716^0,Hermannus van de Wall^1672^1733^0,1
skp023855,skp016830,Jacob de Wilde^1645^1721^0,Gijsbert Cuper^1644^1716^0,1
skp023912,skp016830,Jacob van den Heuvel^1671^1737^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp024271,Gijsbert Cuper^1644^1716^0,Jacques Basnage de Beauval^1653^1723^0,1
skp016830,skp025637,Gijsbert Cuper^1644^1716^0,Jean Le Clerc^1657^1736^0,1
skp025722,skp016830,Jean Paul Bignon^1662^1743^0,Gijsbert Cuper^1644^1716^0,1
skp026002,skp016830,Jerotée de Villers Cotret^0^0^1715,Gijsbert Cuper^1644^1716^0,1
skp026821,skp016830,Johannes Vignoli^1667^1733^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp027967,Gijsbert Cuper^1644^1716^0,Johann Jacob Scheuchzer^1672^1733^0,1
skp016830,skp028842,Gijsbert Cuper^1644^1716^0,Johannes Meyer^1651^1725^0,1
skp016830,skp028885,Gijsbert Cuper^1644^1716^0,Johannes Ortwinus Westenberg^1667^1737^0,1
skp016830,skp029346,Gijsbert Cuper^1644^1716^0,John Woodward^1665^1728^0,1
skp016830,skp029986,Gijsbert Cuper^1644^1716^0,Justus Fontaninus^1666^1736^0,1
skp016830,skp031088,Gijsbert Cuper^1644^1716^0,L.F. Christyn^0^0^1707,1
skp035965,skp016830,Nicolaes Cornelisz. Witsen^1641^1717^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp036476,Gijsbert Cuper^1644^1716^0,Otto Sperling^1634^1715^0,1
skp016830,skp037757,Gijsbert Cuper^1644^1716^0,Petrus Burman^1668^1741^0,1
skp016830,skp044848,Gijsbert Cuper^1644^1716^0,William Sherard^1659^1728^0,1
skp017277,skp037757,Gothofredus Claramontius^0^0^1714,Petrus Burman^1668^1741^0,1
skp017641,skp025637,Guilielmus Nicholsius^0^0^1708,Jean Le Clerc^1657^1736^0,1
skp018186,skp037757,Hendrik van Sypesteyn^1661^1742^0,Petrus Burman^1668^1741^0,1
skp019539,skp025637,Henrik Brenkman^1681^1736^0,Jean Le Clerc^1657^1736^0,1
skp019539,skp037757,Henrik Brenkman^1681^1736^0,Petrus Burman^1668^1741^0,1
skp019811,skp037757,Hermannus van de Wall^1672^1733^0,Petrus Burman^1668^1741^0,1
skp020843,skp025637,Jean Bouhier^1673^1746^0,Jean Le Clerc^1657^1736^0,1
skp021934,skp037757,J. van Kouwenhove^0^0^1710,Petrus Burman^1668^1741^0,1
skp023696,skp037757,Jacob Hase^0^0^1715,Petrus Burman^1668^1741^0,1
skp028759,skp024024,Johannes Jens^1671^1755^0,Jacobus Gronovius^1645^1716^0,1
skp025385,skp037757,Jean Boivin de Villeneuve^1663^1726^0,Petrus Burman^1668^1741^0,1
skp025722,skp025637,Jean Paul Bignon^1662^1743^0,Jean Le Clerc^1657^1736^0,1
skp025754,skp025637,Jean Pierre de Crousaz^1663^1750^0,Jean Le Clerc^1657^1736^0,1
skp025637,skp027356,Jean Le Clerc^1657^1736^0,Johann Albert Fabricius^1668^1736^0,1
skp029251,skp025637,John Davies^1679^1732^0,Jean Le Clerc^1657^1736^0,1
skp036144,skp025637,Nicolaus Xaverius Valletta^1687^1717^0,Jean Le Clerc^1657^1736^0,1
skp027451,skp037757,Johann Caspar Schröder^1695^1759^0,Petrus Burman^1668^1741^0,1
skp029983,skp037757,Justus Christophorus Böhmer^0^0^1715,Petrus Burman^1668^1741^0,1
skp039851,skp037757,Richard Bentley^1662^1742^0,Petrus Burman^1668^1741^0,1
skp041135,skp037757,Sebastian Kortholtus^0^0^1712,Petrus Burman^1668^1741^0,1
skp041276,skp037757,Sigebertus Haverkamp^0^0^1734,Petrus Burman^1668^1741^0,1
skp042317,skp037757,Theodorus Hasaeus^1682^1731^0,Petrus Burman^1668^1741^0,1
skp036815,skp005253,Petrus Wesseling^1692^1764^0,Biago Garofalo^1677^1762^0,1
skp026274,skp031486,Joan Frederik Nilant^1680^1750^0,Laurentius Theodorus Gronovius^1648^1724^0,1
skp024271,skp025637,Jacques Basnage de Beauval^1653^1723^0,Jean Le Clerc^1657^1736^0,1
skp028970,skp016830,Johannes Scheuckzer^1684^1737^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp008617,Gijsbert Cuper^1644^1716^0,Domenico Passionei^1682^1761^0,1
skp034167,skp016830,Mathurin Veyssière de La Croze^1661^1739^0,Gijsbert Cuper^1644^1716^0,1
skp016830,skp026187,Gijsbert Cuper^1644^1716^0,Joachim Mobachius^1699^1790^0,1
skp001862,skp024024,Adriaan Beverland^1650^1716^0,Jacobus Gronovius^1645^1716^0,1
skp001862,skp031486,Adriaan Beverland^1650^1716^0,Laurentius Theodorus Gronovius^1648^1724^0,1
