SKpersonId_person1,SKpersonId_person2,personStrId_person1,personStrId_person2,sign
gap0668,skp003623,Costa Giovanni Battista^0^0^1690,Antonio Marco Magliabechi^1633^1714^0,1
gap0680,skp003623,Crescimbeni Giovanni Mario^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap0685,skp003623,Crozier Giovanni^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0725,skp003623,De Benedictis Giovanni Battista^0^0^1705,Antonio Marco Magliabechi^1633^1714^0,1
gap0727,skp003623,De Cristofaro Giacinto^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0756,skp003623,Del Torre Filippo^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap0757,skp003623,De Milo Domenico Andrea^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap0768,skp003623,Diana Paleologo Giovanni Battista^0^0^1694,Antonio Marco Magliabechi^1633^1714^0,1
gap0779,skp003623,Dini Francesco Antonio^0^0^1712,Antonio Marco Magliabechi^1633^1714^0,1
gap0797,skp003623,Donnoli Francesco Alfonso^0^0^1682,Antonio Marco Magliabechi^1633^1714^0,1
gap0808,skp003623,Ducei Francesco Maria^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap0830,skp003623,Erico Giovanni Pietro^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap0848,skp003623,Fagiuoli Giovanni Battista^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap0854,skp003623,Fardella Michelangelo^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap0856,skp003623,Farulli Gregorio^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0907,skp003623,Fiorentini Mario^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap0916,skp003623,Forastieri Stefano^0^0^1706,Antonio Marco Magliabechi^1633^1714^0,1
gap0921,skp003623,Forzoni Accolti Pier Andrea^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap0924,skp003623,Fountaine Andr‚^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap0974,skp003623,Gandolfo Antonio^0^0^1690,Antonio Marco Magliabechi^1633^1714^0,1
gap0980,skp003623,Gozzi Tommaso^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap0984,skp003623,Gastines Gilles de^0^0^1673,Antonio Marco Magliabechi^1633^1714^0,1
gap1011,skp003623,Giannelli Basilio^0^0^1692,Antonio Marco Magliabechi^1633^1714^0,1
gap1015,skp003623,Giannettasio Niccol•^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap1019,skp003623,Gigli Girolamo^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1021,skp003623,Gimma Giacinto^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1055,skp003623,Girolamo Maria di S. Anna^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap1072,skp003623,Gleich Johann Andreas^0^0^1699,Antonio Marco Magliabechi^1633^1714^0,1
gap1086,skp003623,Gradi Francesca^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1094,skp003623,Grandi Guido^0^0^1707,Antonio Marco Magliabechi^1633^1714^0,1
gap1124,skp003623,Guglielmini Domenico^0^0^1692,Antonio Marco Magliabechi^1633^1714^0,1
gap1129,skp003623,Guidarelli Giovanni Angiolo^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1193,skp003623,Imhof Jacob Wilhelm^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap1196,skp003623,Intieri Bartolomeo^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1227,skp003623,Laderchi Giacomo^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1236,skp003623,Landi Camillo^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap1252,skp003623,Latini Cosimo^0^0^1698,Antonio Marco Magliabechi^1633^1714^0,1
gap1262,skp003623,Lemene Francesco^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap1269,skp003623,Leonardi Donato Antonio^0^0^1693,Antonio Marco Magliabechi^1633^1714^0,1
gap1291,skp003623,Lombardotti Gaetano^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap1307,skp003623,Lucchesini Gian Lorenzo^0^0^1696,Antonio Marco Magliabechi^1633^1714^0,1
gap1312,skp003623,Lucenti Giulio^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap1340,skp003623,Maffei Paolo Alessandro^0^0^1682,Antonio Marco Magliabechi^1633^1714^0,1
gap1341,skp003623,Maffei Raffaello^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1346,skp003623,Maggio Pier Matteo^0^0^1687,Antonio Marco Magliabechi^1633^1714^0,1
gap1353,skp003623,Magnavacca Giuseppe^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap1358,skp003623,Magnolfi Lorenzo^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap1381,skp003623,Mandrisio Niccol•^0^0^1707,Antonio Marco Magliabechi^1633^1714^0,1
gap1384,skp003623,Manfredi Eustachio^0^0^1707,Antonio Marco Magliabechi^1633^1714^0,1
gap1389,skp003623,Mannucci Giuseppe^0^0^1692,Antonio Marco Magliabechi^1633^1714^0,1
gap1400,skp003623,Marchetti Alessandro^1633^1714^0,Antonio Marco Magliabechi^1633^1714^0,1
gap1401,skp003623,Marchetti Angiolo^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1416,skp003623,Marmi Anton Francesco^0^0^1699,Antonio Marco Magliabechi^1633^1714^0,1
gap1427,skp003623,Martelli Pier Jacopo^0^0^1701,Antonio Marco Magliabechi^1633^1714^0,1
gap1442,skp003623,Massouli‚ Antonin^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1443,skp003623,Mastripieri Giuseppe^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1471,skp003623,Mencke Otto^0^0^1693,Antonio Marco Magliabechi^1633^1714^0,1
gap1477,skp003623,Mercei Antonio^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap1498,skp003623,Michelangelo di Candia^0^0^1681,Antonio Marco Magliabechi^1633^1714^0,1
gap1509,skp003623,Minorelli Tommaso Maria^0^0^1703,Antonio Marco Magliabechi^1633^1714^0,1
gap1528,skp003623,Monforte Antonio^0^0^1682,Antonio Marco Magliabechi^1633^1714^0,1
gap1529,skp003623,Mongitore Antonino^0^0^1706,Antonio Marco Magliabechi^1633^1714^0,1
gap1534,skp003623,Montemellini Niccol•^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap1548,skp003623,Morosini Antonio^0^0^1700,Antonio Marco Magliabechi^1633^1714^0,1
gap1582,skp003623,Neri Ippolito^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
gap1594,skp003623,Nigrisoli Francesco Maria^0^0^1705,Antonio Marco Magliabechi^1633^1714^0,1
gap1598,skp003623,Nomi Alessandro^0^0^1704,Antonio Marco Magliabechi^1633^1714^0,1
gap1599,skp003623,Nomi Federico^0^0^1692,Antonio Marco Magliabechi^1633^1714^0,1
gap1625,skp003623,Orlandi Francesco^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap1631,skp003623,Orsucci Giovanni Antonio^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1633,skp003623,Ott Jean Baptiste^0^0^1695,Antonio Marco Magliabechi^1633^1714^0,1
gap1638,skp003623,Pacchioni Antonio^0^0^1706,Antonio Marco Magliabechi^1633^1714^0,1
gap1646,skp003623,Paioli Anselmo^0^0^1684,Antonio Marco Magliabechi^1633^1714^0,1
gap1652,skp003623,Palmieri Cristoforo^0^0^1689,Antonio Marco Magliabechi^1633^1714^0,1
gap1667,skp003623,Paragallo Gaspare^0^0^1694,Antonio Marco Magliabechi^1633^1714^0,1
gap1676,skp003623,Pascoli Alessandro^0^0^1702,Antonio Marco Magliabechi^1633^1714^0,1
gap1681,skp003623,Pastorini Giovanni Battista^0^0^1697,Antonio Marco Magliabechi^1633^1714^0,1
